id,category,title,description
1,Global News,US Supreme Court strikes down Trump order restricting birthright citizenship,The US Supreme Court struck down President Donald Trump's order limiting birthright citizenship and reaffirmed citizenship for nearly all children born in America.
2,Pune News,Days before his murder Ketan suspected Siya had affair with someone else,Police said Ketan believed Siya was involved with someone else and often complained that her phone was busy whenever he called.
3,Law News,Ethanol mixing an experiment results by next year,The government informed the Supreme Court that the 20% ethanol blending policy will continue while supply depends on demand.
4,India News,Siya Goyal's lawyer sues her brother for Rs 10 crore,Advocate Aashutosh Srivastava issued a Rs 10 crore defamation notice against Sahil Goyal over alleged false statements.
5,Global News,POK is not part of Pakistan Thousands rally against Islamabad,Thousands protested in Rawalakot against Pakistan's food blockade and administrative control.
6,Tamil Nadu News,Only AC government buses in Tamil Nadu from now,Tamil Nadu government announced that only AC buses will be purchased for public transport.
7,India News,PM chairs 4-hour meeting with top bureaucrats,Prime Minister reviewed government priorities with senior bureaucrats and emphasized deregulation and self-reliance.
8,Science News,IMD forecasts below-normal rainfall in July,The IMD predicted below-normal rainfall due to strengthening El Niño conditions.
9,Global News,US Supreme Court upholds bans on trans women in female sports,The Supreme Court allowed states to enforce bans on transgender women competing in female school and college sports.
10,Car News,Tata Sierra EV launched at Rs 18.79 lakh,Tata Motors launched the Sierra EV with a claimed range of up to 665 km.
